URL,Name,Price,Rating,Reviews
/Urban-Tribe-Laptop-Backpack-Havana/dp/B01LXNNFDF,"URBAN TRIBE Havana Backpack for Men & Women | Laptop Bag 15.6 inch | Office Work/Casual/College Bag | Black, 27L",₹999,3.9,More Like This
/Mokobara-Backpack-litre-Brown-laptop/dp/B095PC3QPV,"MOKOBARA Backpack 15.5"" Inch Laptop Backpack For Women (16 litres ) Improved (2022 - Model)","₹4,499",4.3,More Like This
/AirCase-C34-Laptop-Backpack-Women/dp/B07QN4KXWG,"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",₹929,3.8,806
/Gear-Vintage2-Leather-Backpack-LBPVG2LTH0501/dp/B07G4HH78P,Gear Vintage2 28L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Navy,₹970,4.4,More Like This
/POLESTAR-backpack-Backpack-College-Students/dp/B08X2KRL8B,"POLESTAR Leader 34 L Bag for College, School, Office, Casual Multipurpose Backpack with 15.6"" Laptop Compartment, Water Resistant, Unisex Design, Stylish & Durable, 1 Year Warranty",₹599,4.1,More Like This
/ADISA-Laptop-Backpack-Office-College/dp/B09TPVD964,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Teal),₹499,3.9,806
/Gear-Expandable-RainCover-Grey-Black-TLPTURBO00401/dp/B097KDRZ67,Gear Turbo 45L Expandable Water Resistant Antitheft Laptop Bag/Backpack/Briefcase for Men/Women with RainCover (Grey),,4.4,More Like This
/PALAY%C2%AE-Shoulder-4-Zipper-Pockets-Adjustable/dp/B08SWGFBNT,"Palay Waist Bag For Unisex With Adjustable Strap, Waterproof Fanny Pack Stylish Chest Bag Bum Bag With 4-Zipper Pockets For Travel Party Festival Running Hiking",₹584,4.4,More Like This
/Impulse-rucksack-75-backpack-trekking/dp/B09T9XDQ99,Impulse rucksack bags 75 litres travel bag for men tourist bag for travel backpack for hiking trekking Bag for men camping thames blue bag with 1 Year Warranty,"₹1,244",4.0,More Like This
/HOT-SHOT-032-Preschool-Waterproof/dp/B0BRSKKZ1W,HOT SHOT Kids Bag 032|Unicorn Bag|School Bag|2TO5 Years|BOY & Girl|12 Liters Preschool & Nursery Waterproof Plush Bag,₹287,3.9,More Like This
/TRUE-HUMAN-Anti-Theft-backpack-combination/dp/B09VCHV6T5,"TRUE HUMAN® Emperor Anti-Theft backpack with combination lock Laptop bag,office bag for Men and Women | College Bags for Girls & Boys (Zyden)",₹649,3.7,More Like This
/American-Tourister-Polyester-Compartment-Backpack/dp/B0BV75WFJP,"American Tourister Zork Polyester 2 Compartment Laptop Unisex Backpack (Black,Frsz)","₹3,970",3.0,More Like This
/Vivinkaa-Womens-Sling-Bag-Blue/dp/B077WSKG53,"Vivinkaa Sling Bag for Women, Bags for Women, Sling Bag, Purse for Women, Sling Bag for Women Stylish, Sling Bag for Girls, Women Sling Bag, Bag for Girls - Indigo",₹549,3.8,"1,900"
/DZert-Girls-Polyester-White-Backpack/dp/B07H1BPCGQ,DZert Clasy Laptop Bag College Bag for Boys Girls 21 L Nevy Blue,₹339,3.8,More Like This
/Wooum-Anti-Theft-Laptop-Bag/dp/B0BYP7SJ4Q,Wooum Anti Theft Laptop Bag - Backpack For Laptop and Tablet of 15.6 Inch Thick Padded Compartment - Light Weight - Water Resistance – Anti Theft (Black),₹474,4.8,More Like This
/Wildcraft-Green-Casual-Backpack-11650-Green/dp/B079DV66TY,Wildcraft 29.5 Ltrs Green Casual Backpack (11650-Green),₹998,4.1,More Like This
/WILD-MODA-Womens-Shoulder-Turquoise/dp/B099PLT91X,"WILD MODA Women's Shoulder Bag, Set of 1",₹849,4.2,More Like This
